val,iteration,memory_cost_raw,memory_cost_quantized,memory_cost_noisy,latency_sec
96,2,187228160,201326592,186934108,1.183300256729126
96,3,187359232,201326592,187172386,1.17460036277771
96,4,187240448,201326592,186693816,1.1794545650482178
96,5,187359232,201326592,187443520,1.1865637302398682
96,6,187359232,201326592,187607081,1.1844449043273926
96,7,187252736,201326592,186720874,1.1759657859802246
96,8,187252736,201326592,187348931,1.1847689151763916
96,9,187318272,201326592,187574219,1.1759638786315918
112,0,217612288,218103808,217594991,1.180952548980713
112,1,217673728,218103808,217606495,1.175842046737671
112,2,217645056,218103808,217929760,1.1809492111206055
112,3,217595904,218103808,218125668,1.1809327602386475
112,4,217616384,218103808,217503405,1.1746227741241455
112,5,217702400,218103808,217330864,1.1877336502075195
112,6,217735168,218103808,217794711,1.209050178527832
112,7,217767936,218103808,217631279,1.1834447383880615
112,8,217661440,218103808,218226685,1.1906332969665527
112,9,217632768,218103808,217385107,1.1826152801513672
128,0,248066048,251658240,248114750,1.1942408084869385
128,1,248102912,251658240,247680440,1.1695985794067383
128,2,248053760,251658240,248605692,1.183112382888794
128,3,248061952,251658240,248141502,1.1678802967071533
128,4,248127488,251658240,248282669,1.180607557296753
128,5,248070144,251658240,247983407,1.1868445873260498
128,6,248070144,251658240,247713282,1.1953704357147217
128,7,248082432,251658240,247893162,1.2178165912628174
128,8,248111104,251658240,247906879,2.29439377784729
128,9,248078336,251658240,247944936,1.2303242683410645
144,0,278454272,285212672,278348020,1.2105765342712402
144,1,278528000,285212672,278572206,1.200044870376587
144,2,278478848,285212672,278464117,1.1982676982879639
144,3,278540288,285212672,278560365,1.1918048858642578
144,4,278544384,285212672,278607636,2.2712395191192627
144,5,278466560,285212672,278434584,1.2042901515960693
144,6,278515712,285212672,278633564,1.2424476146697998
144,7,278511616,285212672,278427468,1.221123456954956
144,8,278499328,285212672,278850891,1.2325217723846436
144,9,278470656,285212672,278081571,1.2116684913635254
160,0,308961280,318767104,309304797,2.3074748516082764
160,1,308920320,318767104,308551029,2.3295583724975586
160,2,308908032,318767104,308778798,2.336646318435669
160,3,308936704,318767104,309288466,2.2944304943084717
160,4,308822016,318767104,308666639,1.1983866691589355
160,5,308916224,318767104,308747195,2.293231725692749
160,6,308936704,318767104,308647598,1.2412879467010498
160,7,308887552,318767104,309267549,1.1937966346740723
160,8,308936704,318767104,308800003,2.2917752265930176
160,9,308858880,318767104,308421699,1.22694730758667
176,0,339181568,352321536,339175381,2.4894070625305176
176,1,339320832,352321536,339267269,2.3009896278381348
176,2,339402752,352321536,339371761,2.2828526496887207
176,3,339243008,352321536,339007054,2.3200483322143555
176,4,339329024,352321536,339230421,1.2147343158721924
176,5,339259392,352321536,339426993,2.279662609100342
176,6,339259392,352321536,339253053,1.21919846534729
176,7,339353600,352321536,339135783,1.2129583358764648
176,8,339402752,352321536,339420411,1.2135703563690186
176,9,339279872,352321536,339433497,1.207390308380127
192,0,369758208,385875968,369491253,2.3020505905151367
192,1,369553408,385875968,369691396,1.213252067565918
192,2,369643520,385875968,369332023,1.201897144317627
192,3,369655808,385875968,369794953,1.2244713306427002
192,4,369811456,385875968,370346439,1.2167487144470215
192,5,369668096,385875968,369718341,1.2252607345581055
192,6,369811456,385875968,369818336,2.2694122791290283
